datetime,AAPL,cash,commission,total,returns,equity_curve
1990-01-01,0.0,100000.0,0.0,100000.0,,
1990-01-02,0.0,100000.0,0.0,100000.0,0.0,1.0
1990-01-03,0.0,100000.0,0.0,100000.0,0.0,1.0
1990-01-05,0.0,100000.0,0.0,100000.0,0.0,1.0
1990-01-06,0.0,100000.0,0.0,100000.0,0.0,1.0
1990-01-08,0.0,100000.0,0.0,100000.0,0.0,1.0
1990-01-10,0.0,100000.0,0.0,100000.0,0.0,1.0
1990-01-11,0.0,100000.0,0.0,100000.0,0.0,1.0
1990-01-15,0.0,100000.0,0.0,100000.0,0.0,1.0
1990-01-16,0.0,100000.0,0.0,100000.0,0.0,1.0
1990-01-17,0.0,100000.0,0.0,100000.0,0.0,1.0
1990-01-18,0.0,100000.0,0.0,100000.0,0.0,1.0
1990-01-19,0.0,100000.0,0.0,100000.0,0.0,1.0
1990-01-22,0.0,100000.0,0.0,100000.0,0.0,1.0
1990-01-23,0.0,100000.0,0.0,100000.0,0.0,1.0
1990-01-24,0.0,100000.0,0.0,100000.0,0.0,1.0
1990-01-25,0.0,100000.0,0.0,100000.0,0.0,1.0
1990-01-26,0.0,100000.0,0.0,100000.0,0.0,1.0
1990-01-29,0.0,100000.0,0.0,100000.0,0.0,1.0
1990-01-30,0.0,100000.0,0.0,100000.0,0.0,1.0
1990-01-31,0.0,100000.0,0.0,100000.0,0.0,1.0
1990-02-01,0.0,100000.0,0.0,100000.0,0.0,1.0
1990-02-02,0.0,100000.0,0.0,100000.0,0.0,1.0
1990-02-03,0.0,100000.0,0.0,100000.0,0.0,1.0
1990-02-04,0.0,100000.0,0.0,100000.0,0.0,1.0
1990-02-05,0.0,100000.0,0.0,100000.0,0.0,1.0
1990-02-07,0.0,100000.0,0.0,100000.0,0.0,1.0
1990-02-08,0.0,100000.0,0.0,100000.0,0.0,1.0
1990-02-10,0.0,100000.0,0.0,100000.0,0.0,1.0
1990-02-11,0.0,100000.0,0.0,100000.0,0.0,1.0
1990-02-13,0.0,100000.0,0.0,100000.0,0.0,1.0
1990-02-14,0.0,100000.0,0.0,100000.0,0.0,1.0
1990-02-15,0.0,100000.0,0.0,100000.0,0.0,1.0
1990-02-16,0.0,100000.0,0.0,100000.0,0.0,1.0
1990-02-20,0.0,100000.0,0.0,100000.0,0.0,1.0
1990-02-21,0.0,100000.0,0.0,100000.0,0.0,1.0
1990-02-22,0.0,100000.0,0.0,100000.0,0.0,1.0
1990-02-23,0.0,100000.0,0.0,100000.0,0.0,1.0
1990-02-26,0.0,100000.0,0.0,100000.0,0.0,1.0
1990-02-27,0.0,100000.0,0.0,100000.0,0.0,1.0
1990-02-28,0.0,100000.0,0.0,100000.0,0.0,1.0
1990-03-01,0.0,100000.0,0.0,100000.0,0.0,1.0
1990-03-04,0.0,100000.0,0.0,100000.0,0.0,1.0
1990-03-05,0.0,100000.0,0.0,100000.0,0.0,1.0
1990-03-07,0.0,100000.0,0.0,100000.0,0.0,1.0
1990-03-08,0.0,100000.0,0.0,100000.0,0.0,1.0
1990-03-10,0.0,100000.0,0.0,100000.0,0.0,1.0
1990-03-12,0.0,100000.0,0.0,100000.0,0.0,1.0
1990-03-13,0.0,100000.0,0.0,100000.0,0.0,1.0
1990-03-14,0.0,100000.0,0.0,100000.0,0.0,1.0
1990-03-15,0.0,100000.0,0.0,100000.0,0.0,1.0
1990-03-16,0.0,100000.0,0.0,100000.0,0.0,1.0
1990-03-19,0.0,100000.0,0.0,100000.0,0.0,1.0
1990-03-20,0.0,100000.0,0.0,100000.0,0.0,1.0
1990-03-21,0.0,100000.0,0.0,100000.0,0.0,1.0
1990-03-22,0.0,100000.0,0.0,100000.0,0.0,1.0
1990-03-23,0.0,100000.0,0.0,100000.0,0.0,1.0
1990-03-26,0.0,100000.0,0.0,100000.0,0.0,1.0
1990-03-27,0.0,100000.0,0.0,100000.0,0.0,1.0
1990-03-28,0.0,100000.0,0.0,100000.0,0.0,1.0
1990-03-29,0.0,100000.0,0.0,100000.0,0.0,1.0
1990-03-30,0.0,100000.0,0.0,100000.0,0.0,1.0
1990-04-01,0.0,100000.0,0.0,100000.0,0.0,1.0
1990-04-04,0.0,100000.0,0.0,100000.0,0.0,1.0
1990-04-05,0.0,100000.0,0.0,100000.0,0.0,1.0
1990-04-06,0.0,100000.0,0.0,100000.0,0.0,1.0
1990-04-09,0.0,100000.0,0.0,100000.0,0.0,1.0
